trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.6065306597126334}",25,0,-40.15220078558672,"{0: 14, 1: 10, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.36787944117144233}",20,0,-46.92231834989347,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.22313016014842982}",20,0,-41.11500495152208,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.1353352832366127}",20,12,14.745014188822456,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.8, 'e': 0.0820849986238988}",20,6,16.37184368328924,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.8, 'e': 0.049787068367863944}",30,0,-124.97627852260915,"{0: 23, 1: 0, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.0301973834223185}",25,0,-14.85286389863015,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.01831563888873418}",20,0,-75.28807404886085,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.011108996538242306}",35,12,22.18561762165807,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.8, 'e': 0.006737946999085467}",25,0,29.50420478874345,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.004086771438464067}",25,13,-20.47209059573922,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.8, 'e': 0.0024787521766663585}",25,5,25.612366606614685,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.0015034391929775724}",25,0,25.072182246127337,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.0009118819655545162}",20,6,-19.4266202013194,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.8, 'e': 0.0005530843701478336}",30,8,-1.6793595775106247,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.8, 'e': 0.00033546262790251185}",20,1,21.345529018539622,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.00020346836901064417}",30,17,19.186339689631723,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.00012340980408667956}",20,0,25.535607160836243,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.8, 'e': 7.48518298877006e-05}",25,18,11.377749138647284,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': 4.5399929762484854e-05}",20,1,-8.751683988579464,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,13,6.452836847425876,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,-16.38032139360006,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,10,-39.15359430052439,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,2,21.296550059932194,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",35,8,18.109757770571196,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,6.747426694885866,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,2,3.4836544502581477,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,13,20.915088258666746,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,16,14.326977368393937,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,3,-14.75472100504448,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,True,"{'a': 0, 'e': 0}",25,11,-42.45656450487431,"{0: 11, 1: 0, 2: 0, 3: 3, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,2,33.6182100672355,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,11,5.916474236922987,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,10,18.971820993470356,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,17,25.262561517493168,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,2,-0.9213627915839078,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,3,26.77226372819178,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,7,19.376056064230834,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,7,31.47566024187457,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",30,12,30.408697639214335,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
